date_time,lat,lng,depth,magnitude,area
2020-1-2 09:57:1.4,31°57.3'N,130°55.9'E,6,0.8,宮崎県南部山沿い
2020-1-2 09:58:54.2,26°58.5'N,128°19.8'E,14,0.7,沖縄本島近海
2020-1-2 10:03:56.9,35°25.4'N,139°15.9'E,20,0.4,神奈川県西部
2020-1-2 10:04:20.2,34°52.5'N,135°24.2'E,7,2.3,兵庫県南東部
2020-1-2 10:04:22.1,25°32.9'N,123°28.8'E,205,2.8,石垣島北西沖
2020-1-2 10:07:25.7,35°59.3'N,137°31.9'E,6,0.3,岐阜県飛騨地方
2020-1-2 10:10:42.9,34°49.9'N,132°5.3'E,12,0.3,島根県西部
2020-1-2 10:11:51.2,35°50.3'N,140°15.1'E,34,0.6,千葉県北西部
2020-1-2 10:11:53.8,35°50.5'N,140°16.5'E,36,1.1,千葉県北西部
2020-1-2 10:12:40.1,32°8.6'N,130°3.8'E,7,0.7,天草灘
2020-1-2 10:14:5.5,43°0.1'N,146°31.2'E,58,1.8,根室半島南東沖
2020-1-2 10:17:35.6,35°10.6'N,132°34.6'E,8,1.0,島根県西部
2020-1-2 10:37:11.8,38°19.1'N,142°6.6'E,35,1.5,宮城県沖
2020-1-2 10:38:1.8,33°1.9'N,131°4.6'E,12,0.4,熊本県阿蘇地方
2020-1-2 10:39:21.2,26°56.0'N,128°23.6'E,17,0.8,沖縄本島近海
2020-1-2 10:41:59.8,34°49.1'N,135°31.1'E,11,0.1,大阪府北部
2020-1-2 10:47:21.9,33°56.5'N,133°27.0'E,24,0.4,愛媛県東予
2020-1-2 10:48:39.4,32°51.8'N,130°52.3'E,11,0.5,熊本県熊本地方
2020-1-2 10:57:0.8,32°42.4'N,132°27.6'E,31,0.4,日向灘
2020-1-2 11:02:29.1,37°4.4'N,141°11.5'E,18,1.1,福島県沖
2020-1-2 11:03:12.3,33°54.2'N,136°44.8'E,421,2.7,三重県南東沖
2020-1-2 11:08:56.9,36°10.4'N,140°52.8'E,44,2.3,茨城県沖
2020-1-2 11:09:35.2,34°52.3'N,135°23.7'E,7,0.0,兵庫県南東部
2020-1-2 11:11:48.0,32°8.5'N,130°3.9'E,8,0.5,天草灘
2020-1-2 11:24:42.2,33°23.9'N,130°42.2'E,4,-0.1,福岡県筑後地方
2020-1-2 11:27:18.4,35°48.1'N,140°53.9'E,13,1.0,千葉県東方沖
2020-1-2 11:28:23.4,35°39.5'N,140°1.5'E,64,2.2,東京湾
2020-1-2 11:29:4.3,43°17.5'N,146°18.4'E,46,2.5,根室半島南東沖
2020-1-2 11:44:37.2,39°45.5'N,141°50.3'E,56,0.8,岩手県沿岸北部
2020-1-2 11:48:45.0,36°31.3'N,140°57.0'E,43,1.0,茨城県沖
2020-1-2 11:52:15.4,36°33.6'N,139°21.5'E,9,0.3,群馬県南部
2020-1-2 11:53:52.4,39°52.1'N,140°23.4'E,5,0.8,秋田県内陸北部
2020-1-2 11:54:25.4,33°27.8'N,135°8.8'E,27,1.1,和歌山県南方沖
2020-1-2 11:54:39.3,35°57.4'N,140°10.9'E,37,0.8,茨城県南部
2020-1-2 11:55:36.7,42°21.4'N,143°0.6'E,56,0.7,日高地方東部
2020-1-2 11:57:20.5,38°24.7'N,141°47.6'E,54,0.6,宮城県沖
2020-1-2 12:03:1.7,32°44.5'N,132°13.1'E,38,0.8,日向灘
2020-1-2 12:06:1.1,33°59.3'N,135°5.0'E,8,0.6,紀伊水道
2020-1-2 12:14:23.5,43°57.7'N,144°58.8'E,6,1.4,網走地方
2020-1-2 12:15:9.0,34°4.1'N,135°10.2'E,5,0.8,和歌山県北部
2020-1-2 12:20:10.0,33°29.4'N,134°45.1'E,18,1.1,四国沖
2020-1-2 12:25:44.2,33°7.2'N,129°36.1'E,13,1.6,五島列島近海
2020-1-2 12:25:50.4,38°16.6'N,141°48.6'E,54,2.1,宮城県沖
2020-1-2 12:29:53.6,32°51.7'N,130°50.2'E,13,0.2,熊本県熊本地方
2020-1-2 12:35:32.5,35°16.8'N,136°27.1'E,6,0.2,岐阜県美濃中西部
2020-1-2 12:35:36.5,33°0.9'N,131°10.4'E,11,0.4,熊本県阿蘇地方
2020-1-2 12:35:42.2,36°50.9'N,140°38.0'E,9,1.4,茨城県北部
2020-1-2 12:38:15.3,36°51.0'N,140°37.9'E,8,2.1,茨城県北部
2020-1-2 12:38:23.0,36°23.2'N,138°2.6'E,11,0.6,長野県中部
2020-1-2 12:44:8.5,43°58.2'N,145°0.5'E,10,1.3,網走地方
2020-1-2 12:53:43.6,33°35.3'N,135°34.6'E,12,0.1,和歌山県南部
2020-1-2 12:53:44.4,32°39.0'N,130°40.6'E,10,-0.3,熊本県熊本地方
2020-1-2 13:04:45.0,43°58.6'N,145°1.3'E,12,-,根室地方北部
2020-1-2 13:09:30.3,34°38.8'N,137°18.8'E,27,0.9,遠州灘
2020-1-2 13:15:3.1,32°8.2'N,130°3.2'E,8,1.1,天草灘
2020-1-2 13:16:25.2,36°33.1'N,141°17.1'E,45,1.7,茨城県沖
2020-1-2 13:19:26.9,37°19.1'N,141°20.9'E,21,1.0,福島県沖
2020-1-2 13:20:16.2,36°49.7'N,138°35.9'E,1,0.7,長野県北部
2020-1-2 13:22:5.3,43°21.8'N,143°5.8'E,0,0.1,十勝地方北部
2020-1-2 13:24:4.2,36°3.1'N,137°33.8'E,7,-0.1,岐阜県飛騨地方
2020-1-2 13:24:21.9,43°22.1'N,143°5.4'E,5,0.2,十勝地方北部
2020-1-2 13:25:24.5,35°53.5'N,140°55.2'E,17,1.2,茨城県沖
2020-1-2 13:26:37.2,36°3.5'N,137°34.2'E,8,0.2,岐阜県飛騨地方
2020-1-2 13:27:34.0,36°7.6'N,140°55.1'E,42,0.9,茨城県沖
2020-1-2 13:29:6.3,26°15.3'N,129°28.1'E,45,1.9,沖縄本島近海
2020-1-2 13:29:24.0,36°13.3'N,140°51.8'E,43,1.0,茨城県沖
2020-1-2 13:31:11.7,39°20.2'N,142°5.1'E,45,1.4,岩手県沖
2020-1-2 13:33:49.9,32°32.2'N,130°41.8'E,6,-0.1,熊本県熊本地方
2020-1-2 13:37:38.0,40°22.1'N,142°14.2'E,39,1.1,岩手県沖
2020-1-2 13:38:0.9,36°47.1'N,140°32.7'E,8,0.4,茨城県北部
2020-1-2 13:42:29.2,32°53.5'N,130°51.1'E,9,0.1,熊本県熊本地方
2020-1-2 13:44:44.2,36°52.6'N,140°34.8'E,6,0.3,福島県中通り
2020-1-2 13:47:12.2,34°23.5'N,139°8.0'E,16,1.2,新島・神津島近海
2020-1-2 13:53:9.4,32°51.9'N,130°52.7'E,12,0.0,熊本県熊本地方
2020-1-2 13:55:52.1,34°1.3'N,135°8.6'E,6,0.0,紀伊水道
2020-1-2 13:56:42.0,34°58.6'N,135°40.2'E,13,1.0,京都府南部
2020-1-2 14:08:46.4,37°17.5'N,140°59.1'E,29,0.6,福島県浜通り
2020-1-2 14:09:43.5,35°51.3'N,140°27.4'E,36,0.6,千葉県北西部
2020-1-2 14:12:17.7,32°28.8'N,130°30.7'E,5,0.1,熊本県天草・芦北地方
2020-1-2 14:12:51.9,36°26.0'N,139°52.9'E,118,0.9,栃木県南部
2020-1-2 14:13:50.6,38°8.2'N,141°19.3'E,61,1.8,宮城県沖
2020-1-2 14:14:1.4,34°50.2'N,135°35.9'E,7,0.2,大阪府北部
2020-1-2 14:14:53.7,32°45.4'N,130°33.9'E,12,0.4,有明海
