SITE CODE= E08石巻市泉町                ,38.1033,142.8600, 24,9.0,40613.6154873, 22.42, 38.64
 LAT.=   38.4277
 LON.=  141.2994
 SAMPLING RATE= 100Hz 
 UNIT  = gal(cm/s/s) 
INITIAL TIME = 2011 03 11 14 46 30
 NS,EW,UD
0.014,-0.003,-0.003
-0.025,-0.004,-0.011
-0.002,0.005,-0.011
0.026,-0.005,0.000
0.011,0.005,-0.005
-0.013,0.020,-0.002
-0.022,0.012,0.014
-0.001,-0.014,0.004
0.015,-0.012,-0.001
-0.004,-0.008,-0.002
0.023,-0.020,-0.011
-0.001,0.002,-0.003
-0.042,0.036,0.000
0.018,0.028,-0.005
0.034,-0.031,0.006
-0.009,0.002,0.001
-0.034,0.012,-0.006
0.003,-0.051,0.006
0.002,0.038,0.014
-0.023,0.055,0.010
0.031,-0.066,0.002
0.017,-0.030,-0.005
-0.026,0.044,-0.024
-0.004,-0.004,-0.020
0.040,-0.016,0.009
0.012,0.050,0.026
-0.054,0.032,0.034
0.004,-0.051,-0.003
0.017,-0.026,-0.032
-0.030,0.013,-0.004
-0.002,-0.021,0.007
0.048,0.016,-0.011
0.036,0.050,-0.005
-0.062,-0.013,0.025
-0.045,-0.039,0.012
0.053,-0.010,-0.013
0.029,0.029,0.004
-0.014,0.024,0.007
0.016,-0.007,-0.012
-0.011,-0.002,-0.025
-0.057,-0.030,0.002
0.015,0.015,0.032
0.048,0.075,0.007
0.002,-0.023,-0.008
0.001,-0.097,-0.007
0.010,-0.014,-0.018
-0.042,0.082,-0.010
-0.031,0.001,0.006
0.031,-0.008,0.021
-0.001,0.100,0.034
0.026,-0.038,0.008
0.017,-0.125,-0.026
-0.033,-0.010,-0.031
-0.005,0.003,-0.029
-0.003,0.018,-0.002
0.050,0.119,0.039
0.006,0.063,0.043
-0.089,-0.096,0.012
0.012,-0.077,-0.039
0.060,-0.015,-0.058
-0.010,-0.013,-0.002
0.011,0.080,0.033
0.038,0.106,0.023
-0.034,-0.038,0.000
-0.050,-0.096,-0.008
0.002,-0.036,0.014
0.013,0.009,-0.010
0.018,0.039,-0.030
0.043,0.053,-0.002
0.011,0.030,0.014
-0.059,-0.029,0.006
-0.034,-0.066,-0.025
0.020,-0.030,0.001
-0.005,0.053,0.038
0.005,0.055,0.005
0.053,-0.039,-0.011
0.018,-0.043,-0.014
-0.027,0.042,-0.009
-0.045,0.043,0.021
0.004,-0.038,-0.002
0.045,-0.016,-0.016
-0.029,0.034,0.025
-0.013,-0.019,0.010
0.030,-0.040,-0.018
-0.011,0.007,-0.010
-0.013,0.052,0.012
0.014,0.026,0.029
0.009,-0.026,-0.003
-0.040,-0.034,-0.009
-0.014,-0.044,0.002
0.045,0.013,-0.018
0.024,0.107,-0.011
-0.029,0.007,0.008
-0.020,-0.063,0.025
0.039,0.062,0.013
-0.030,-0.001,-0.007
-0.036,-0.156,-0.016
0.053,-0.045,-0.033
-0.017,0.154,0.005
-0.017,0.094,0.036
0.087,-0.046,0.004
0.001,-0.018,-0.017
-0.108,-0.044,-0.007
0.013,-0.061,-0.003
0.049,0.040,-0.011
-0.034,0.055,0.016
0.036,0.019,0.011
0.036,0.019,0.011
0.019,-0.011,-0.014
-0.061,-0.053,0.002
-0.011,-0.040,-0.001
0.038,0.032,0.002
0.034,0.064,0.011
-0.021,0.004,-0.001
-0.012,-0.044,-0.009
0.037,-0.002,-0.011
-0.009,0.030,0.009
-0.040,-0.018,0.008
-0.027,-0.025,-0.005
0.004,0.008,-0.005
0.023,-0.001,0.004
0.017,0.020,0.026
0.023,0.063,0.001
-0.017,0.007,-0.022
0.019,-0.082,-0.014
0.048,-0.055,-0.001
-0.050,0.002,0.023
-0.055,0.027,-0.002
-0.013,0.058,-0.004
0.027,0.052,0.020
0.045,-0.010,0.000
-0.009,-0.050,-0.014
-0.012,-0.027,-0.022
-0.006,-0.032,-0.003
-0.011,-0.026,0.014
0.000,0.043,-0.006
0.016,0.088,-0.007
0.027,0.052,-0.004
-0.020,-0.037,-0.005
-0.031,-0.080,0.013
0.007,-0.063,0.011
-0.004,-0.009,-0.009
0.007,0.041,-0.007
0.052,0.034,-0.011
0.030,0.047,-0.009
0.000,0.030,0.003
-0.019,-0.031,0.008
-0.063,-0.026,0.011
-0.050,-0.010,0.002
0.002,-0.025,0.004
0.053,-0.011,-0.001
0.064,0.059,-0.008
0.009,0.052,0.002
0.003,-0.033,0.000
-0.014,-0.026,-0.005
-0.079,0.002,0.007
-0.041,-0.016,0.012
0.032,-0.004,-0.016
0.030,0.036,-0.013
0.027,0.007,0.022
0.027,-0.034,0.003
-0.022,0.016,-0.007
-0.013,0.014,0.002
0.001,-0.030,-0.008
-0.031,0.001,-0.003
0.009,0.011,0.001
0.018,-0.016,0.010
-0.013,-0.021,0.003
-0.004,0.002,-0.005
-0.005,0.037,0.001
0.030,0.000,-0.021
0.039,-0.017,-0.014
-0.024,0.027,0.020
-0.044,-0.011,0.012
-0.029,-0.043,-0.010
0.013,0.021,-0.005
0.032,0.032,0.007
0.027,-0.006,0.000
0.029,0.013,-0.013
-0.006,-0.005,-0.004
-0.041,-0.018,0.013
-0.041,0.012,0.015
0.008,0.004,-0.003
0.029,-0.001,-0.013
0.019,-0.007,0.011
0.017,-0.023,-0.001
-0.023,-0.010,-0.013
-0.018,0.027,0.012
-0.017,0.018,0.013
-0.006,-0.022,-0.001
0.050,-0.005,-0.021
-0.007,0.034,0.003
-0.031,0.018,0.029
0.001,-0.022,-0.005
0.003,-0.039,-0.005
0.034,-0.017,0.007
-0.016,0.037,-0.005
-0.023,0.020,-0.020
0.045,-0.018,-0.015
-0.016,0.031,0.020
-0.055,0.004,0.020
0.025,-0.085,0.005
0.052,-0.012,-0.020
-0.012,0.080,-0.026
0.001,0.031,0.018
0.014,-0.019,0.017
-0.046,-0.018,-0.009
-0.019,-0.019,-0.011
0.004,-0.028,0.010
-0.007,0.002,0.020
0.024,0.028,-0.014
0.026,0.012,-0.015
0.002,0.020,0.011
-0.012,0.039,0.005
-0.030,-0.018,0.002
0.009,-0.088,-0.012
0.041,-0.016,-0.014
-0.024,0.068,0.020
-0.014,0.023,0.025
0.027,-0.023,-0.006
-0.019,-0.019,-0.022
-0.018,0.008,-0.006
0.021,0.013,0.009
0.011,-0.017,0.004
0.002,-0.015,-0.006
0.020,0.022,-0.003
-0.001,0.021,0.019
-0.025,-0.002,-0.005
0.005,0.013,-0.024
0.019,-0.001,0.016
-0.012,-0.034,0.012
-0.014,-0.003,-0.007
0.004,-0.004,-0.008
0.008,-0.005,0.002
-0.001,0.058,0.012
-0.023,-0.004,0.005
0.021,-0.049,-0.003
0.012,0.045,0.000
-0.026,0.010,0.002
0.039,-0.054,-0.020
0.013,0.004,0.009
-0.035,0.050,0.026
-0.024,0.002,-0.011
-0.001,-0.059,-0.002
0.023,-0.005,-0.001
-0.015,0.029,-0.002
0.008,-0.013,-0.001
0.039,-0.015,-0.011
-0.025,0.035,0.003
-0.040,0.032,0.002
0.016,-0.024,-0.002
0.018,-0.010,0.011
0.005,-0.007,0.006
0.012,-0.014,-0.005
0.010,0.032,-0.006
-0.006,0.047,-0.012
-0.032,-0.027,0.002
0.007,-0.054,0.011
-0.027,0.025,0.012
-0.031,0.001,0.003
0.061,-0.023,-0.018
0.007,0.035,0.010
0.002,0.020,0.018
0.032,-0.003,-0.002
-0.009,-0.026,-0.006
-0.020,-0.035,-0.018
-0.037,-0.004,-0.003
0.005,0.020,0.017
0.029,0.031,0.013
0.001,0.011,0.003
0.011,-0.002,-0.013
0.012,-0.011,-0.005
-0.003,-0.016,0.009
-0.027,-0.005,-0.001
-0.012,0.007,-0.007
0.029,0.008,-0.007
0.021,0.010,0.007
-0.009,0.015,0.016
-0.014,-0.029,-0.007
-0.003,-0.018,-0.007
-0.019,0.023,0.007
-0.001,-0.008,0.000
0.041,-0.011,-0.005
-0.013,0.016,0.002
-0.028,0.011,-0.001
0.031,-0.024,-0.004
-0.001,-0.010,0.008
-0.030,0.033,0.002
0.027,0.005,-0.012
0.015,-0.005,-0.004
-0.054,0.011,0.006
-0.004,-0.033,0.000
0.050,-0.038,-0.006
-0.005,0.050,0.003
-0.024,0.038,0.007
0.017,-0.044,-0.002
0.014,0.008,-0.020
-0.035,0.041,0.000
0.008,-0.027,0.030
0.034,-0.021,-0.013
-0.030,0.032,-0.023
0.019,0.012,0.012
0.019,-0.023,0.006
-0.048,0.007,-0.001
0.009,0.002,-0.008
0.014,-0.009,0.016
-0.036,0.017,0.013
0.013,0.000,-0.036
0.032,-0.028,-0.007
0.002,-0.016,0.034
0.019,0.049,0.016
-0.023,0.023,-0.007
-0.052,-0.036,-0.015
0.010,0.017,-0.016
0.026,0.007,-0.014
